interprete_cancion,total_canciones
Bonnie Raitt,1
Bonnie Tyler,1
Booty Luv,1
Boris Gardiner,1
Boston 168,1
Boundzound,1
Boxcar Willie,1
Boy George,1
Brass Construction,1
Brave Combo,1
Brenda Boykin,1
Brenda Fassie,1
Brenda Lee,1
Brendan Croskerry,1
"Brian Cross, Inna",1
Bright Sun Spirit,1
Bromas Aparte,1
Bronislaw Kaper,1
Brothers In Da Basement,1
Brown,1
Bruno Martini,1
Bruno Philip,1
"Bryan Adams, Sting And Rod Stewart",1
Bryan Ferry,1
Bryan Wilson & Sebastian Crayn,1
Bud Shank,1
Buddhatronic,1
Buddy Holly,1
Buika,1
Burak Yeter,1
Burl Ives,1
Burning,1
Burns,1
Bus Stop Feat. Carl Douglas,1
Bustamante,1
Buzzcocks,1
Buzzy Bus,1
Bvsmp,1
ByeAlex,1
C & C Music Factory,1
C & G,1
Cab Calloway,1
Cadillac,1
Cali,1
Calibu,1
Caliche,1
Calum Scott,1
Calvin Harris,1
"Calvin Harris, Florence Welch",1
Camiel,1
Camille,1
Camino Del Sol,1
Cammora,1
"Can-Linn, Kasey Smith",1
Canarios,1
Candi Staton,1
Candido,1
Cappella,1
Captain And Tennille,1
Captain Sensible,1
Carboo,1
Carl Espen,1
Carles Benavent,1
Carles Enguix i O3,1
Carlinhos Brown,1
"Carlinhos Brown, DJ Dero",1
"Carlos Gallardo, Jose Franco",1
"Carlos Gallardo, Juanjo Martin, Nuria Swan, Patrizze",1
Carlos Santana,1
Carlos Silva,1
Carlos Varela,1
Carlos Vidal,1
Carly Rae Jepsen,1
Carmen Linares,1
"Carnicero, Dj Tempo",1
Carol,1
Carolina Marquez,1
Caroline,1
Casely,1
Cassandra,1
Cat Stevens,1
Caterina Caselli,1
Catherine Russell,1
Cecile Bredie,1
Cecilia Toussaint,1
Celeda,1
Celio González,1
Celtic Words,1
"Cesar De Melero, John Jacobsen",1
Cesar Monge,1
Ceximo,1
Cezar Ouatu,1
Chabuca Granda,1
Chaka Khan,1
Chamaco,1
Charles Brown,1
Charles Mingus,1
Charlie Rich,1
Charlie Sexton,1
Charly Black,1
"Cheb Mami, K-Mel",1
Chenoa,1
Cher,1
Chess,1
Chico Buarque,1
Chimo Bayo,1
Chipper,1
Chita Rivera,1
Chris Brown,1
Chris Isaak,1
Chris Jedi,1
"Chris Lake, Laura V, Dirty South",1
Chris Malinchak,1
Chris Salvatore,1
Chris Willis,1
Christian Cheval,1
Christian Reyes,1
Christie,1
Christopher S,1
Chrome,1
Chuckie,1
Chuckie & Promise Land,1
Cicada,1
Cinnamon,1
City Limits,1
CJ Lewis,1
Clara Moreno,1
Clare Fischer,1
Clarke's,1
Classix Nouveaux,1
Claude Debussy,1
Claude François,1
Claude-Michel Schönberg,1
Clelia Felix,1
Clifford Brown,1
Clotta,1
Cláudia Leitte;Lira,1
CNCO,1
Coastline,1
Cold Valley,1
Coldcut,1
Coleman Hawkins,1
Colin Vearncombe,1
Color Me Badd,1
Combustible Edison,1
Commodores,1
Con J.R.,1
Conchita Velasco,1
Conchita Wurst,1
Connie Francis,1
"Conor Maynard, Ne-Yo",1
Consuelo Velázquez,1
Coolio vs. Kylian Mash & Rico Bernasconi,1
Coque Malla,1
Coral Sant Jordi,1
Cordura,1
Corinne Bailey Rae,1
Corinto Band,1
Cornucopia,1
Count Basie,1
Counting Crows,1
Cowboy Junkies,1
Coz,1
Cracked Ice,1
Crazy White Boy,1
Crispian St. Peters,1
Cristian Martin,1
Cristina Scarlat,1
Critika y Saik,1
Crossfire,1
Cuggini Di Campagna,1
Culture Club,1
Cunnie Williams,1
"Cánovas, Rodrigo, Adolfo Y Guzmán",1
"Céline Dion, Clive Griffin",1
"Cüva, H.O.M.",1
D.O.N.S.,1
"D.O.N.S., Technotronic",1
Da Silva,1
Daddy's Groove,1
Daddy's Groove Feat. Coleman,1
Dagon,1
Dakota Staton,1
Dam'Edge,1
Dan Balan,1
"Dani Moreno, Romy Low",1
Daniel Wanrooy,1
Daniel Zueras,1
Daniela Romo,1
Dannii Minogue,1
Danny & The Juniors,1
Danny Daniel,1
Danny Marquez,1
Danny Romero,1
Danny Ulman,1
Danny Williams,1
Danza DJs,1
Danzel,1
Dario D'Attis,1
Dario Nunez,1
Dario Nunez & DJ Neil,1
"Dario Núñez, DJ Nano",1
Dasoul,1
Dave Brubeck,1
David Bustamante,1
David Coverdale,1
David DeMaria,1
David Fonseca,1
"David Guetta, Chris Willis",1
"David Guetta, JD Davis",1
"David Guetta, Sia",1
"David Guetta, The Egg",1
David Jacopin,1
David Jones,1
David Mann,1
David Palau,1
David Quijada,1
David Raksin,1
David Regueiro,1
David Sanborn,1
David Strasser,1
David Tavare Feat. 2 Eivissa,1
"David Tavaré, 2 Eivissa",1
David Tort,1
David Velardo,1
Davis,1
Dawn Of The Maya,1
Dawn Penn,1
Daymond,1
DB Boulevard,1
De Souza Feat. Shena,1
Dead Means Nothing,1
Dean Martin,1
Deana Carter,1
"Debbie Davis, Matt Perrine",1
Debbie Gibson,1
Deco Fiori,1
Dee Dee Bridgewater,1
Deee-Lite,1
Deep Dish,1
"Deep Josh, Jose Rodriguez, Josephine Sweet",1
Deepswing,1
Del Shannon,1
Demarco Electronic Project,1
Democustico,1
Deniz Koyu,1
Dennis Brown,1
Dennis Uko,1
"Departamento Del Ritmo, Auudi",1
Depedro,1
Depende,1
Der Lehmann,1
Des-acato,1
Después De Todo,1
Deux,1
Deviot,1
Dexter Gordon,1
Dexys Midnight Runners,1
Dhafer Youssef,1
Diana Ross,1
Diane Schuur,1
Dick Dale & His Del-Tones,1
Dick Haymes,1
Dido,1
Diego Alonso,1
Diego Vieito,1
Digitano,1
Dilara Kazimova,1
Dimitri Tiomkin,1
Dinah Shore,1
Diogo Clemente,1
Dionne Warwick,1
Discolage,1
Discopolis,1
"Diva Surprise, Georgia Jones",1
Diweley & Y. Shekba,1
DJ Antoine,1
"DJ Antoine, Тимати, La La Land, Timbaland, Grooya",1
DJ Assad,1
"DJ Assad, Mohombi, Craig David, Greg Parys",1
DJ Chowuy,1
"DJ Chuckie, LMFAO",1
"DJ Chuckie, Promiseland, Amanda Wilson",1
"DJ Chus, Groove Foundation",1
Dj Derezon,1
DJ Dero,1
DJ Disciple Feat. Dawn Tallman,1
"DJ Disciple, Dawn Tallman",1
DJ Disse,1
Dj Dr Kucho!,1
DJ Eddy-N,1
DJ F,1
"DJ Kuba, Ne!tan",1
DJ Malvado,1
"DJ Manian, Carlprit",1
DJ Nano,1
"DJ Nano, Ed Is Dead",1
Dj Pedrós,1
DJ Raafy,1
"DJ Ross, Double You, J. & B.",1
DJ Said,1
DJ Sakin & Friends,1
DJ Sammy,1
DJ Snake,1
Dj Suri & Markus DB,1
DJ Tatana,1
Dj Tempo,1
