id,numero_cd,autor,titulo_cd
1014,1005,"HENRI RENAUD","ESSENTIEL JAZZ"
1017,1008,"THE MUSIC INSIDE YOU","IN SEARCH OF ANGELS"
1019,1010,"VIENNA MASTER SERIES","KIRCHENMUSIK, HAYDNQUARTETT NR.6"
1025,1015,"LAS NUEVAS MÚSICAS","OS DIAS DA MADREDEUS"
1026,1017,"SAEMINARIO PERMANENTE DE JAZZ PONTEVEDRA",NIMBOS
1027,1018,"CLASICOS INOLVIDABLES",PRIMAVERA
1029,1020,"WOLFGANG AMADEUS MOZART","SINFONÍA HAFFNER Y PRAGA"
1030,1021,"LAS NUEVAS MÚSICAS","THE PRIVATE MUSIC OF SUZANNE CIANI"
1031,1022,"BALÁZS SZOKOLAY","TOP PIANO CLASSICS I"
1032,1023,"Idil Biret",VALSES
536,"523‐2 DISCO ESTRELLA",,"VOLUMEN 14"
